country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
United States,Massachusetts,Suffolk County,2020-04-14,-64.0,-27.0,-28.0,-80.0,-68.0,29.0
United States,Massachusetts,Suffolk County,2020-04-15,-64.0,-29.0,-41.0,-81.0,-68.0,30.0
United States,Massachusetts,Suffolk County,2020-04-16,-65.0,-28.0,-46.0,-81.0,-68.0,31.0
United States,Massachusetts,Suffolk County,2020-04-17,-66.0,-30.0,-48.0,-80.0,-66.0,32.0
United States,Massachusetts,Suffolk County,2020-04-18,-72.0,-37.0,-65.0,-80.0,-54.0,22.0
United States,Massachusetts,Suffolk County,2020-04-19,-63.0,-32.0,-1.0,-77.0,-49.0,16.0
United States,Massachusetts,Suffolk County,2020-04-20,-63.0,-33.0,-41.0,-82.0,-70.0,30.0
United States,Massachusetts,Suffolk County,2020-04-21,-66.0,-38.0,-56.0,-82.0,-68.0,31.0
United States,Massachusetts,Suffolk County,2020-04-22,-65.0,-32.0,-53.0,-81.0,-68.0,30.0
United States,Massachusetts,Suffolk County,2020-04-23,-63.0,-27.0,-28.0,-81.0,-67.0,30.0
United States,Massachusetts,Suffolk County,2020-04-24,-69.0,-36.0,-67.0,-82.0,-66.0,34.0
United States,Massachusetts,Suffolk County,2020-04-25,-63.0,-24.0,4.0,-73.0,-50.0,17.0
United States,Massachusetts,Suffolk County,2020-04-26,-69.0,-41.0,-59.0,-81.0,-51.0,18.0
United States,Massachusetts,Suffolk County,2020-04-27,-68.0,-42.0,-68.0,-83.0,-67.0,31.0
United States,Massachusetts,Suffolk County,2020-04-28,-61.0,-29.0,-36.0,-80.0,-66.0,23.0
United States,Massachusetts,Suffolk County,2020-04-29,-60.0,-28.0,-29.0,-79.0,-66.0,28.0
United States,Massachusetts,Suffolk County,2020-04-30,-64.0,-28.0,-49.0,-81.0,-67.0,30.0
United States,Massachusetts,Suffolk County,2020-05-01,-64.0,-26.0,-46.0,-79.0,-64.0,31.0
United States,Massachusetts,Suffolk County,2020-05-02,-58.0,-16.0,21.0,-70.0,-46.0,15.0
United States,Massachusetts,Suffolk County,2020-05-03,-57.0,-25.0,38.0,-73.0,-44.0,13.0
United States,Massachusetts,Suffolk County,2020-05-04,-57.0,-25.0,-19.0,-79.0,-64.0,26.0
United States,Massachusetts,Suffolk County,2020-05-05,-56.0,-22.0,-21.0,-78.0,-65.0,27.0
United States,Massachusetts,Suffolk County,2020-05-06,-60.0,-26.0,-31.0,-79.0,-65.0,28.0
United States,Massachusetts,Suffolk County,2020-05-07,-59.0,-21.0,-14.0,-78.0,-65.0,28.0
United States,Massachusetts,Suffolk County,2020-05-08,-62.0,-23.0,-45.0,-78.0,-62.0,30.0
United States,Massachusetts,Suffolk County,2020-05-09,-63.0,-18.0,-49.0,-75.0,-46.0,17.0
United States,Massachusetts,Suffolk County,2020-05-10,-57.0,-21.0,-19.0,-75.0,-42.0,13.0
United States,Massachusetts,Suffolk County,2020-05-11,-61.0,-32.0,-41.0,-79.0,-63.0,27.0
